,Date,TI,MA,cont,discrete
107,1993-05-08T20:00:00.000000000-0400,0.0737734121909,6.89968471204,,
108,1993-05-09T20:00:00.000000000-0400,25.2699857279,7.73878538166,,
109,1993-05-10T20:00:00.000000000-0400,6.56521392088,7.95442913619,,
110,1993-05-11T20:00:00.000000000-0400,3.88035480083,7.91206433508,,
111,1993-05-12T20:00:00.000000000-0400,11.181714642,7.71942047407,,
112,1993-05-13T20:00:00.000000000-0400,6.5998183292,7.60135803603,,
113,1993-05-14T20:00:00.000000000-0400,0.0613702619137,6.94507137122,,
114,1993-05-15T20:00:00.000000000-0400,0.0608876215942,6.60971559742,,
115,1993-05-16T20:00:00.000000000-0400,16.9398631674,7.17143418342,,
116,1993-05-17T20:00:00.000000000-0400,23.3650435475,7.94735540387,,
117,1993-05-18T20:00:00.000000000-0400,13.7038878355,7.92714529721,,
118,1993-05-19T20:00:00.000000000-0400,16.3581030776,8.36117532895,,
119,1993-05-20T20:00:00.000000000-0400,15.2655966482,8.73829397513,,
120,1993-05-21T20:00:00.000000000-0400,0.0635221168463,8.51303114283,,
121,1993-05-22T20:00:00.000000000-0400,0.0630462161008,8.00476486613,,
122,1993-05-23T20:00:00.000000000-0400,8.17717547884,8.27449277382,,
123,1993-05-24T20:00:00.000000000-0400,10.4014651758,8.61839076711,,
124,1993-05-25T20:00:00.000000000-0400,2.79898784972,8.42524667335,,
125,1993-05-26T20:00:00.000000000-0400,15.2824374095,7.85784128912,,
126,1993-05-27T20:00:00.000000000-0400,16.1746978282,8.17425863485,,
127,1993-05-28T20:00:00.000000000-0400,0.0704892979726,7.96494560274,,
128,1993-05-29T20:00:00.000000000-0400,0.0699826994862,7.80406271035,,
129,1993-05-30T20:00:00.000000000-0400,12.675081495,8.2243196583,,
130,1993-05-31T20:00:00.000000000-0400,8.11488563131,8.49258989526,,
131,1993-06-01T20:00:00.000000000-0400,7.51535091203,8.37003685913,,
132,1993-06-02T20:00:00.000000000-0400,9.34017364656,8.36282863504,,
133,1993-06-03T20:00:00.000000000-0400,22.3854959379,8.91783455808,,
134,1993-06-04T20:00:00.000000000-0400,0.0678474601045,8.61840956871,,
135,1993-06-05T20:00:00.000000000-0400,0.0673828890577,8.4222677725,,
136,1993-06-06T20:00:00.000000000-0400,5.61334995999,8.60689949991,,
137,1993-06-07T20:00:00.000000000-0400,14.5038088163,9.08790068004,,
138,1993-06-08T20:00:00.000000000-0400,11.328920546,8.62319850731,,
139,1993-06-09T20:00:00.000000000-0400,3.0253702015,8.50520371667,,
140,1993-06-10T20:00:00.000000000-0400,14.7330432792,8.86695999928,,
141,1993-06-11T20:00:00.000000000-0400,0.0746170056451,8.4967234114,,
142,1993-06-12T20:00:00.000000000-0400,0.0741249125849,8.27920029751,,
143,1993-06-13T20:00:00.000000000-0400,8.32625110009,8.55469632545,,
144,1993-06-14T20:00:00.000000000-0400,14.0067521094,9.01955847504,,
145,1993-06-15T20:00:00.000000000-0400,6.71911488852,8.67886686575,,
146,1993-06-16T20:00:00.000000000-0400,14.787860066,8.3929607497,,
147,1993-06-17T20:00:00.000000000-0400,24.5681548474,8.75510298343,,
148,1993-06-18T20:00:00.000000000-0400,0.0575032647167,8.21174965633,,
149,1993-06-19T20:00:00.000000000-0400,0.0571454735954,7.70480128385,,
150,1993-06-20T20:00:00.000000000-0400,15.8718962759,8.23174708915,,
151,1993-06-21T20:00:00.000000000-0400,10.0648312146,8.56513992243,,
152,1993-06-22T20:00:00.000000000-0400,29.5214698867,9.27661640269,,
153,1993-06-23T20:00:00.000000000-0400,10.2629337448,9.27199868832,,
154,1993-06-24T20:00:00.000000000-0400,26.0323635781,10.0464445459,,
155,1993-06-25T20:00:00.000000000-0400,0.0629269758441,9.53912753148,,
156,1993-06-26T20:00:00.000000000-0400,0.0625489870896,9.00205590345,,
157,1993-06-27T20:00:00.000000000-0400,9.05726119429,9.30161496666,,
158,1993-06-28T20:00:00.000000000-0400,7.22240917648,9.54002918256,,
159,1993-06-29T20:00:00.000000000-0400,12.3006756017,9.52754898611,,
160,1993-06-30T20:00:00.000000000-0400,22.1820505458,9.99645448326,,
161,1993-07-01T20:00:00.000000000-0400,9.79602519711,10.0724769594,,
